,valence,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,artists
1971,0.5288946236559142,0.11703611469534055,0.6190788530465955,0.7683870967741935,5.93136917562724e-05,0.2042430107526881,-4.6441433691756275,0.13070430107526887,BTS
2025,0.5001686046511631,0.24480104651162785,0.7573837209302328,0.6688546511627905,0.00026236819767441863,0.15734476744186046,-5.573174418604648,0.11811627906976747,Bad Bunny
2078,0.3544999999999999,0.16549999999999998,0.595,0.675,7.314999999999999e-05,0.09925,-6.156500000000001,0.03805,Band Aid
2193,0.4776666666666667,0.276,0.5213333333333333,0.7040000000000001,0.00010933333333333334,0.17033333333333334,-5.636666666666668,0.03963333333333333,Barns Courtney
2242,0.5632592592592591,0.1910681481481481,0.6352962962962964,0.7379259259259258,0.0014344274074074071,0.16931111111111108,-5.795,0.05771481481481481,Bastille
2297,0.4275757575757577,0.1193539393939394,0.6173030303030302,0.6673030303030306,3.960606060606061e-07,0.18199090909090904,-5.366969696969697,0.07588181818181818,Bebe Rexha
2306,0.521888888888889,0.11187333333333334,0.6877222222222222,0.7134444444444444,0.0003884777777777778,0.2094111111111111,-5.633222222222222,0.09870555555555556,Becky G
2321,0.48100000000000004,0.0126,0.6559999999999999,0.9055,0.01990414,0.0761,-4.3765,0.0478,Bekuh Boom
2363,0.3754375000000001,0.57909375,0.461875,0.3961875000000001,0.0,0.11222500000000002,-8.276187499999999,0.045568750000000005,Ben Platt
2805,0.4495,0.182,0.6285000000000001,0.6409999999999999,1.485e-06,0.13345,-5.4085,0.06684999999999999,Bishop Briggs
3047,0.7359999999999999,0.12338333333333334,0.8011666666666667,0.8889999999999999,5.153333333333334e-05,0.10143333333333332,-4.078333333333333,0.08868333333333334,Bob Sinclar
3178,0.5434285714285714,0.06630857142857143,0.6112857142857143,0.8857142857142856,2.4742857142857138e-06,0.4406571428571428,-5.430428571428571,0.158,Booboo Stewart
3230,0.506,0.123,0.802,0.7090000000000001,0.0,0.0676,-6.635,0.0856,Boy Wonder CF
3276,0.6382000000000001,0.036624,0.7290000000000001,0.7852,7.916e-05,0.19652,-4.381,0.044840000000000005,Brando
3299,0.74075,0.7102499999999999,0.8305,0.7935000000000001,2.69575e-05,0.10385,-3.7145,0.0731,Breakbot
3319,0.4109803921568627,0.4200392156862746,0.6208823529411766,0.42794117647058794,0.032178776470588234,0.18120196078431366,-10.228921568627452,0.11360392156862748,Brent Faiyaz
3323,0.4859999999999999,0.25735840000000004,0.5589999999999999,0.6822400000000002,5.85288e-05,0.148104,-6.31984,0.04706399999999999,Brett Eldredge
3481,0.495,0.1915376923076923,0.680076923076923,0.6671923076923076,0.0004296480769230767,0.19933076923076928,-5.585846153846156,0.06474615384615386,Bryce Vine
3666,0.363,0.070095,0.8,0.585,0.0,0.22355,-6.6825,0.20575,CHASE B
3690,0.4007666666666668,0.7305555555555555,0.5448888888888888,0.4047444444444445,0.027794568888888888,0.14640000000000006,-11.000444444444444,0.036999999999999984,Caamp
3745,0.234,0.00968,0.513,0.7879999999999999,0.0,0.11,-4.629,0.0364,Calle Lehmann
3754,0.5749545454545456,0.10478099999999996,0.6702045454545456,0.8425454545454548,0.021592744772727275,0.2035886363636363,-4.195227272727273,0.052554545454545465,Calvin Harris
3768,0.5660000000000001,0.059026666666666665,0.609,0.8699999999999998,1.5416666666666668e-06,0.4459333333333333,-5.631833333333333,0.16233333333333333,Cameron Boyce
3772,0.450617021276596,0.24801829787234034,0.6346595744680853,0.5784255319148937,0.002735352127659574,0.16459574468085106,-5.712446808510637,0.08552340425531914,Camila Cabello
3787,0.723,0.0107,0.5589999999999999,0.7659999999999999,6.979999999999999e-05,0.194,-5.056,0.0295,Canaan Smith
4262,0.279,0.0161,0.534,0.825,0.0,0.101,-5.229,0.036000000000000004,Charlie Bannister
4278,0.3154,0.07585570000000001,0.5493,0.6342000000000001,2.49e-07,0.083,-5.3839,0.04433,Charlie Gillespie
4283,0.233,0.992,0.466,0.00472,0.938,0.0712,-28.546,0.0531,Charlie Key
4313,0.5735000000000001,0.3493,0.6635000000000001,0.551,3.047e-05,0.16349999999999998,-6.2905000000000015,0.07112500000000001,Charlotte Lawrence
4340,0.4618888888888889,0.08759333333333333,0.6345555555555555,0.7808888888888891,0.014788888888888888,0.14724444444444446,-4.836222222222221,0.08175555555555555,Cheat Codes
4346,0.3075263157894737,0.4637578947368423,0.5897894736842106,0.4600842105263159,0.002088933684210526,0.2289157894736843,-8.792526315789473,0.09367368421052633,Chelsea Cutler
4358,0.6537499999999999,0.1630375,0.67725,0.7362500000000001,0.0,0.326675,-4.252624999999999,0.09545,Cher Lloyd
4583,0.333,0.8170000000000001,0.485,0.29,0.0,0.111,-8.443999999999999,0.0321,Christian Bautista
4586,0.6974444444444443,0.1836427407407408,0.6186666666666667,0.8134444444444443,0.0010236111111111114,0.1877703703703704,-4.6903703703703705,0.05900740740740744,Christian Chávez
4589,0.5566363636363636,0.3524363636363636,0.6386363636363637,0.5302727272727273,5.072727272727273e-07,0.17741818181818186,-6.5550000000000015,0.0733,Christian French
4591,0.263,0.6686666666666667,0.6056666666666667,0.3633333333333333,0.0016583900000000007,0.2176666666666667,-7.764333333333332,0.03769999999999999,Christian Leave
4642,0.6974444444444443,0.1836427407407408,0.6186666666666667,0.8134444444444443,0.0010236111111111114,0.1877703703703704,-4.6903703703703705,0.05900740740740744,Christopher von Uckermann
4836,0.4003333333333334,0.6093333333333333,0.5336666666666666,0.5196666666666666,0.0,0.13366666666666666,-7.773999999999997,0.0548,Clinton Kane
4849,0.0495,0.993,0.133,0.00512,0.851,0.0954,-33.295,0.038,Clyde Boudreaux
4901,0.4650526315789473,0.17565052631578948,0.5211052631578946,0.7378947368421053,4.094736842105264e-06,0.17208421052631576,-4.532684210526315,0.0346421052631579,Cole Swindell
5008,0.411,0.393,0.7040000000000001,0.634,3.17e-05,0.0952,-7.374,0.0428,Conrad Sewell
5234,0.504,0.116,0.529,0.638,0.0,0.0964,-7.104,0.0301,Cub Sport
5308,0.0398,0.976,0.14800000000000002,0.0496,0.929,0.0839,-26.249,0.0442,Cyrano Brussee
5324,0.88,0.337,0.795,0.731,0.0,0.0935,-6.949,0.041,Código FN
5383,0.5539999999999999,0.348,0.82,0.555,0.0,0.121,-7.114,0.152,DACHINC
5522,0.6937142857142857,0.2299214285714285,0.727,0.6707857142857142,7.126928571428571e-05,0.14675714285714286,-4.578785714285715,0.1821928571428572,Dalex
5554,0.55,0.194,0.653,0.809,0.0,0.165,-4.057,0.0474,Dan Caplen
5572,0.219,0.674,0.285,0.396,6.6e-05,0.102,-8.741,0.0318,Dan Stevens
6009,0.4006250000000001,0.635625,0.577375,0.5119999999999999,4.498750000000002e-06,0.13335,-8.04225,0.0444,Dean Lewis
6042,0.51175,0.061415,0.6032500000000001,0.7017499999999999,8.6725e-06,0.09435,-5.670250000000001,0.032725000000000004,Declan McKenna
6058,0.012715,0.1235,0.134,0.9855,0.981,0.591,-18.0145,0.0624,Deep Rain Sampling
6062,0.0658,0.98,0.141,0.0282,0.906,0.104,-30.003,0.0454,Deep Watch
6110,0.461551020408163,0.17899579591836734,0.5484693877551019,0.6649285714285714,1.4244285714285718e-05,0.17321530612244904,-5.646724489795918,0.06377959183673468,Demi Lovato
6191,0.373,0.21600000000000005,0.457,0.943,0.000245,0.206,-5.271,0.0768,Destroy Boys
6207,0.039,0.96,0.163,0.0145,0.951,0.0917,-29.97300000000001,0.0508,Devansh Tushar
6314,0.6576000000000001,0.16176,0.7076,0.6728,0.0,0.25944,-4.713,0.08592000000000001,Digital Farm Animals
6388,0.4728947368421053,0.11188763157894736,0.620842105263158,0.7460526315789475,0.04199896868421052,0.190857894736842,-5.636973684210527,0.10472105263157892,Diplo
6485,0.5097999999999999,0.19169125000000006,0.754375,0.6609999999999999,0.0021764077500000013,0.16009750000000006,-5.2179,0.10196000000000002,Doja Cat
6568,0.4813428571428572,0.2701578571428572,0.7117142857142857,0.5933928571428569,0.024070370714285715,0.17490714285714293,-7.066571428571428,0.07621785714285714,Don Toliver
6748,0.34700000000000003,0.325,0.5475,0.5920000000000001,0.0,0.17150000000000004,-5.6374999999999975,0.09300000000000001,Drax Project
6795,0.578793103448276,0.12258948275862068,0.6933620689655173,0.6950862068965517,0.00011044189655172417,0.18038965517241384,-5.029241379310343,0.08810517241379309,Dua Lipa
6827,0.5255000000000001,0.21195000000000008,0.7390000000000001,0.7140000000000001,0.0,0.09905,-4.0785,0.0572,Duki
6830,0.6974444444444443,0.1836427407407408,0.6186666666666667,0.8134444444444443,0.0010236111111111114,0.1877703703703704,-4.6903703703703705,0.05900740740740744,Dulce María
