index,genres,valence,acousticness,danceability,energy,instrumentalness,liveness,speechiness
2261,psychobilly,0.6298740740740739,0.1230925061728395,0.4765095238095238,0.8639687830687831,0.08884354121693122,0.21893313932980604,0.07879415343915343
2262,pub rock,0.6552142706014352,0.19861298941013966,0.5141830298594264,0.6758287175731154,0.05779012120263565,0.1878571036238768,0.05740973168558304
2263,puerto rican folk,0.8808646705529057,0.5950180449611822,0.6454597814094546,0.5609242682968174,0.0063068934497878745,0.1574699085300392,0.06570088459820486
2264,puerto rican pop,0.5284212285208874,0.42333645971748735,0.5203394242882571,0.6099555475948741,0.004835162619266303,0.22086478138875912,0.051912033025508016
2265,puerto rican rock,0.6688756613756613,0.2302287798941799,0.5863968253968256,0.7461878306878308,2.4820925925925924e-05,0.5204719576719575,0.10186111111111107
2266,punjabi folk,0.598913043478261,0.9743478260869564,0.5903478260869566,0.2329652173913043,0.3110913826086956,0.19421739130434776,0.1154652173913043
2267,punjabi hip hop,0.764,0.0353,0.7559999999999999,0.858,0.00025299999999999997,0.061,0.0584
2268,punjabi pop,0.7142857142857143,0.3673285714285714,0.6957142857142857,0.6891428571428572,0.25826471428571424,0.19957142857142854,0.09271428571428572
2269,punk,0.5585313800662884,0.0676740838530615,0.44497152566023535,0.8365016413284357,0.10421798923785824,0.2290668681720253,0.08449604850802836
2270,punk 'n' roll,0.5022643555555555,0.06025290932444445,0.4263151111111112,0.8862031111111108,0.14014609418222224,0.21720017777777773,0.07867346666666666
2271,punk blues,0.567532561345146,0.1429757850669385,0.463835132094573,0.7854455494560854,0.108366527908624,0.21525997353050388,0.07613306251335937
2272,punk rock italiano,0.374,0.00502,0.485,0.951,1.96e-06,0.376,0.10400000000000001
2273,punk rock mexicano,0.6079999999999999,0.0029136,0.4134000000000001,0.8722,0.00033182000000000003,0.18056,0.09579999999999997
2274,punta,0.8176666666666667,0.16999999999999998,0.7805,0.6721666666666667,0.008397083333333333,0.2098,0.06338333333333332
2275,purple sound,0.526,0.598,0.711,0.7609999999999999,0.127,0.134,0.233
2276,qawwali,0.4430750000000001,0.5134791666666667,0.49475,0.3471383333333333,0.34238141,0.09690416666666668,0.052241666666666665
2277,quartetto d'archi,0.564,0.8290000000000001,0.504,0.125,0.20600000000000002,0.0925,0.0394
2278,quatuor a cordes,0.3516,0.9345,0.3895,0.13845000000000002,0.6905,0.10905,0.047
2279,quebec death metal,0.256,8.065e-06,0.2465,0.973,0.755,0.2685,0.16199999999999998
2280,quebec indie,0.40693115942028985,0.2907571884057971,0.5422246376811594,0.7173442028985507,0.10610025869565216,0.18523152173913046,0.05528913043478261
2281,queens hip hop,0.6269929333820174,0.1347354085742394,0.7243606791649925,0.7049028872633204,0.01326752325461138,0.21634267346008013,0.2709897418212916
2282,queer country,0.5173928363694469,0.3476220295941195,0.6276658037711729,0.5218105784595716,0.000328497114573346,0.1566511425375519,0.09565039948865453
2283,queercore,0.6533083333333333,0.34481349999999994,0.5596916666666667,0.7213999999999999,0.16592253099999998,0.13186083333333334,0.043997500000000016
2284,quiet storm,0.6174500211991503,0.3074597690072051,0.6386430457849394,0.5466902927091771,0.03638596767953319,0.1682506908824236,0.06498878604502957
2285,quran,0.534,0.9635,0.4455,0.22425,0.00017775,0.23425,0.14515
2286,r&b,0.5228395527638899,0.2333488711591651,0.661261288711762,0.5857615754782616,0.013407294202511971,0.16763994102508048,0.10640301582692263
