title,artist,genre,year,bpm,energy,danceability,dB,liveness,valence,duration_ms,acousticness,speechiness,popularity
Summertime Sadness (Lana Del Rey Vs. Cedric Gervais) - Cedric Gervais Remix,Lana Del Rey,art pop,2013,126,0.81,0.57,-6,0.13,0.11,215,0.02,0.06,74
Under Control,Calvin Harris,dance pop,2013,126,0.92,0.54,-3,0.12,0.51,184,0.13,0.08,74
Everybody Talks,Neon Trees,indie pop,2013,155,0.92,0.47,-4,0.31,0.73,177,0.0,0.06,74
"Hold On, We're Going Home",Drake,canadian hip hop,2013,100,0.41,0.77,-7,0.07,0.29,228,0.0,0.1,73
Best Song Ever,One Direction,boy band,2013,118,0.88,0.65,-3,0.08,0.49,200,0.02,0.05,73
Kiss You,One Direction,boy band,2013,90,0.93,0.63,-3,0.32,0.91,183,0.02,0.06,73
Sweet Nothing (feat. Florence Welch),Calvin Harris,dance pop,2013,128,0.93,0.57,-4,0.06,0.58,213,0.2,0.11,72
Lose Yourself to Dance,Daft Punk,electro,2013,100,0.66,0.83,-8,0.08,0.67,354,0.08,0.06,72
Work Bitch,Britney Spears,dance pop,2013,128,0.82,0.63,-7,0.07,0.85,248,0.16,0.16,71
Brave,Sara Bareilles,acoustic pop,2013,185,0.84,0.55,-4,0.04,0.76,221,0.01,0.05,71
Can't Hold Us (feat. Ray Dalton),Macklemore & Ryan Lewis,dance pop,2013,146,0.93,0.63,-4,0.1,0.88,258,0.03,0.08,70
Feel This Moment (feat. Christina Aguilera),Pitbull,dance pop,2013,136,0.76,0.67,-4,0.34,0.54,230,0.04,0.16,70
Beneath Your Beautiful,Labrinth,pop,2013,84,0.52,0.56,-6,0.1,0.23,272,0.23,0.04,70
Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2013,125,0.68,0.66,-7,0.37,0.25,252,0.25,0.04,70
Thrift Shop (feat. Wanz),Macklemore & Ryan Lewis,dance pop,2013,95,0.53,0.78,-7,0.05,0.66,236,0.06,0.29,69
If I Lose Myself - Alesso vs OneRepublic,OneRepublic,dance pop,2013,126,0.75,0.52,-6,0.14,0.16,215,0.26,0.04,69
The Way,Ariana Grande,dance pop,2013,82,0.88,0.65,-3,0.08,0.86,227,0.29,0.11,68
Suit & Tie,Justin Timberlake,dance pop,2013,102,0.6,0.8,-4,0.16,0.36,326,0.1,0.22,68
#thatPOWER,will.i.am,dance pop,2013,128,0.61,0.8,-6,0.07,0.4,280,0.0,0.06,68
I Love It (feat. Charli XCX),Icona Pop,candy pop,2013,126,0.91,0.71,-3,0.15,0.82,157,0.01,0.03,67
Play Hard (feat. Ne-Yo & Akon) - New Edit,David Guetta,dance pop,2013,130,0.87,0.72,-3,0.66,0.68,209,0.04,0.04,67
Daylight,Maroon 5,pop,2013,120,0.67,0.66,-5,0.26,0.37,225,0.0,0.03,66
Love Somebody,Maroon 5,pop,2013,120,0.78,0.68,-6,0.12,0.4,230,0.13,0.04,65
A Little Party Never Killed Nobody (All We Got),Fergie,dance pop,2013,130,0.62,0.76,-6,0.09,0.52,241,0.01,0.18,65
Move,Little Mix,dance pop,2013,121,0.74,0.85,-5,0.55,0.77,224,0.0,0.09,63
Walks Like Rihanna,The Wanted,boy band,2013,126,0.82,0.56,-3,0.1,0.43,202,0.01,0.06,62
Rock N Roll,Avril Lavigne,canadian pop,2013,184,0.96,0.47,-3,0.34,0.67,207,0.01,0.13,61
Heartbreaker,Justin Bieber,canadian pop,2013,105,0.52,0.56,-7,0.34,0.58,263,0.14,0.1,61
Mirrors - Radio Edit,Justin Timberlake,dance pop,2013,77,0.6,0.58,-6,0.43,0.65,277,0.14,0.05,60
Next To Me,Emeli Sandé,dance pop,2013,95,0.8,0.67,-5,0.11,0.35,197,0.09,0.04,60
Made In The USA,Demi Lovato,dance pop,2013,87,0.86,0.58,-4,0.32,0.59,196,0.0,0.04,60
Clown,Emeli Sandé,dance pop,2013,130,0.23,0.45,-8,0.11,0.23,221,0.92,0.04,60
Girl On Fire (feat. Nicki Minaj) - Inferno Version,Alicia Keys,hip pop,2013,93,0.81,0.55,-6,0.15,0.34,271,0.09,0.31,59
TKO,Justin Timberlake,dance pop,2013,138,0.68,0.61,-7,0.43,0.49,424,0.01,0.24,58
Come & Get It,Selena Gomez,dance pop,2013,80,0.79,0.55,-4,0.1,0.58,232,0.01,0.05,57
Live It Up,Jennifer Lopez,dance pop,2013,128,0.73,0.69,-5,0.33,0.65,244,0.01,0.17,57
We Own The Night,The Wanted,boy band,2013,104,0.94,0.55,-4,0.23,0.56,206,0.01,0.13,56
Atlas - From The Hunger Games: Catching Fire Soundtrack,Coldplay,permanent wave,2013,136,0.45,0.28,-8,0.11,0.11,236,0.63,0.03,55
What About Love,Austin Mahone,dance pop,2013,100,0.78,0.63,-7,0.04,0.28,203,0.0,0.04,54
Take Back the Night,Justin Timberlake,dance pop,2013,107,0.66,0.59,-5,0.64,0.33,353,0.04,0.16,54
Applause,Lady Gaga,dance pop,2013,140,0.78,0.67,-4,0.11,0.73,212,0.03,0.05,52
Anything Could Happen,Ellie Goulding,dance pop,2013,103,0.78,0.7,-4,0.14,0.38,286,0.43,0.03,52
Finally Found You,Enrique Iglesias,dance pop,2013,128,0.88,0.62,-5,0.35,0.66,221,0.01,0.1,52
Pom Poms,Jonas Brothers,boy band,2013,148,0.98,0.68,-2,0.28,0.9,198,0.07,0.09,52
#Beautiful,Mariah Carey,dance pop,2013,107,0.76,0.68,-5,0.31,0.45,200,0.29,0.04,51
How Ya Doin'? (feat. Missy Elliott),Little Mix,dance pop,2013,201,0.95,0.36,-3,0.37,0.51,211,0.09,0.48,50
Crazy Kids (feat. will.i.am),Kesha,dance pop,2013,128,0.75,0.72,-4,0.13,0.5,229,0.04,0.04,46
"Ooh La La (from ""The Smurfs 2"")",Britney Spears,dance pop,2013,128,0.57,0.69,-5,0.11,0.73,257,0.02,0.05,45
People Like Us,Kelly Clarkson,dance pop,2013,128,0.79,0.6,-5,0.36,0.61,259,0.04,0.04,45
Overdose,Ciara,dance pop,2013,107,0.7,0.77,-6,0.06,0.79,227,0.01,0.03,43
Right Now - Dyro Radio Edit,Rihanna,barbadian pop,2013,130,0.74,0.53,-6,0.24,0.45,186,0.0,0.04,42
Give It 2 U,Robin Thicke,dance pop,2013,127,0.83,0.67,-4,0.16,0.58,230,0.1,0.07,41
Foolish Games,Jewel,alaska indie,2013,132,0.34,0.51,-11,0.12,0.07,250,0.23,0.03,36
Outta Nowhere (feat. Danny Mercer),Pitbull,dance pop,2013,95,0.84,0.71,-4,0.21,0.66,207,0.16,0.03,35
Freak,Kelly Rowland,atl hip hop,2013,104,0.78,0.65,-5,0.12,0.45,274,0.13,0.06,28
All of Me,John Legend,neo mellow,2014,120,0.26,0.42,-7,0.13,0.33,270,0.92,0.03,86
Stay With Me,Sam Smith,pop,2014,84,0.42,0.42,-6,0.11,0.18,173,0.59,0.04,85
Summer,Calvin Harris,dance pop,2014,128,0.86,0.6,-4,0.14,0.74,223,0.02,0.03,80
"Happy - From ""Despicable Me 2""",Pharrell Williams,dance pop,2014,160,0.82,0.65,-5,0.09,0.96,233,0.22,0.18,79
Rude,MAGIC!,pop,2014,144,0.76,0.77,-5,0.31,0.93,225,0.04,0.04,79
Shake It Off,Taylor Swift,pop,2014,160,0.8,0.65,-5,0.33,0.94,219,0.06,0.17,78
Dark Horse,Katy Perry,dance pop,2014,132,0.59,0.65,-6,0.17,0.35,216,0.0,0.05,78
Hey Brother,Avicii,big room,2014,125,0.78,0.55,-5,0.08,0.46,255,0.03,0.04,78
Maps,Maroon 5,pop,2014,120,0.71,0.74,-6,0.06,0.88,190,0.02,0.03,78
Treasure,Bruno Mars,pop,2014,116,0.69,0.87,-5,0.32,0.94,179,0.04,0.04,77
Let Her Go,Passenger,folk-pop,2014,75,0.54,0.51,-7,0.1,0.24,253,0.39,0.06,77
Problem,Ariana Grande,dance pop,2014,103,0.81,0.66,-5,0.16,0.63,194,0.02,0.15,75
Pompeii,Bastille,metropopolis,2014,127,0.72,0.68,-6,0.27,0.57,214,0.08,0.04,73
Team,Lorde,art pop,2014,100,0.58,0.69,-7,0.31,0.42,193,0.17,0.09,73
Love Me Again,John Newman,pop,2014,126,0.89,0.5,-5,0.1,0.21,240,0.0,0.04,73
Latch,Disclosure,house,2014,122,0.73,0.5,-5,0.09,0.52,256,0.02,0.17,72
Adore You,Miley Cyrus,dance pop,2014,120,0.66,0.58,-5,0.11,0.2,279,0.11,0.03,72
Love Never Felt So Good,Michael Jackson,pop,2014,118,0.72,0.78,-6,0.07,0.71,246,0.13,0.04,71
Burn,Ellie Goulding,dance pop,2014,87,0.78,0.56,-5,0.11,0.33,231,0.31,0.04,71
She Looks So Perfect,5 Seconds of Summer,boy band,2014,160,0.95,0.49,-4,0.33,0.44,202,0.0,0.13,71
Fancy,Iggy Azalea,australian hip hop,2014,95,0.72,0.91,-4,0.05,0.38,200,0.09,0.07,70
Talk Dirty (feat. 2 Chainz),Jason Derulo,dance pop,2014,100,0.65,0.76,-7,0.31,0.76,178,0.03,0.23,68
Gorilla,Bruno Mars,pop,2014,140,0.54,0.72,-7,0.1,0.64,244,0.45,0.04,68
human,Christina Perri,dance pop,2014,144,0.49,0.44,-6,0.11,0.25,251,0.13,0.04,68
Young Girls,Bruno Mars,pop,2014,126,0.75,0.56,-5,0.21,0.5,229,0.46,0.03,67
